,title,price,img,post,condition
68,Korg Kross 88 Keyboard,460,https://images.craigslist.org/00p0p_6NEyaHQ5qw6_600x450.jpg,"Hi,
This is a Korg Kross 88 fully weighted keyboard. Its fully functional, but does not come with a power supply. It does run on 6 AA batteries though, and the power supply can be found online for like $15.  I tested the keyboard with my multi-voltage power supply (not included) so I know that it's power jack is ok.
Let me know if you have any questions!

Thanks",excellent
69,Casio CT-6000 80s Keyboard,140,https://images.craigslist.org/00808_bD8fzAL98NC_600x450.jpg,"Hi, 
     This is a Casio CT-6000.  Fully functional, MIDI, cool range control on the pitch bend, pretty nice sounds, metal bottom, and chorus effects. Here's a video about it..... 

https://www.youtube.com/watch?v=1NvDL42DVkA&t=611s

There's a hole in the one corner and it defintaley shows wear and tear from being so old (80s).
Lemme know if you have any questions.

Thanks!",good
70,Alamo Challenger 5-W 110 All-Tube Electric Amp,520,https://images.craigslist.org/00W0W_3xFy0lypNdk_600x450.jpg,Excellent Condition!,excellent
71,2 Beta 58a’s for sale,80,https://images.craigslist.org/00C0C_bhzPfNas6FJ_600x450.jpg,"2 Beta 58a’s for sale. Have been used at a local venue so there is wear and tear; however, both work great. $80 each.",good
72,CAD GXL 1200 Condenser Microphone,80,https://images.craigslist.org/00101_aI2S7va19_600x450.jpg,Brand New!,new
73,CAD StageSelect IEM Wireless In-Ear Monitor System,400,https://images.craigslist.org/00T0T_gIxp8kXcx1j_600x450.jpg,Brand New!,new
74,CAD Live D82 Microphone,180,https://images.craigslist.org/00F0F_hB5hLb5L3it_600x450.jpg,Brand New!,new
75,Schertler Jam 100 80W Acoustic Guitar Combo Amp,800,https://images.craigslist.org/00202_6qRoLEFecdP_600x450.jpg,"These things are amazing sounding! This Schertler Jam 100 is ready for  on any stage, in any recording studio, or in any living room!",like new
76,Vox V847 Wah-Wah Pedal,80,https://images.craigslist.org/00N0N_7Ie5XhGw8JP_600x450.jpg,Mount this one on your pedalboard and you'll never regret the decision: this is the one and only wah you need to conjure up classic tones or dive in a new direction of your own.,excellent
77,CAD Audio U9 USB Microphone,40,https://images.craigslist.org/00a0a_cGVR3nMBT5P_600x450.jpg,Brand New!,new
